Method,LeadTimeMin,Aggregation,Metric,Threshold,Pool,Value
Baseline,5,batch_avg,CSI,16,1,0.836609
Baseline,10,batch_avg,CSI,16,1,0.797207
Baseline,15,batch_avg,CSI,16,1,0.752341
Baseline,20,batch_avg,CSI,16,1,0.710725
Baseline,25,batch_avg,CSI,16,1,0.672070
Baseline,30,batch_avg,CSI,16,1,0.639547
Baseline,35,batch_avg,CSI,16,1,0.610233
Baseline,40,batch_avg,CSI,16,1,0.579884
Baseline,45,batch_avg,CSI,16,1,0.554792
Baseline,50,batch_avg,CSI,16,1,0.536773
Baseline,55,batch_avg,CSI,16,1,0.519870
Baseline,60,batch_avg,CSI,16,1,0.502867
Baseline,5,global_count,CSI,16,1,0.862064
Baseline,10,global_count,CSI,16,1,0.828052
Baseline,15,global_count,CSI,16,1,0.787271
Baseline,20,global_count,CSI,16,1,0.747981
Baseline,25,global_count,CSI,16,1,0.711054
Baseline,30,global_count,CSI,16,1,0.679579
Baseline,35,global_count,CSI,16,1,0.650998
Baseline,40,global_count,CSI,16,1,0.619048
Baseline,45,global_count,CSI,16,1,0.591151
Baseline,50,global_count,CSI,16,1,0.573954
Baseline,55,global_count,CSI,16,1,0.558132
Baseline,60,global_count,CSI,16,1,0.540682
Baseline,5,batch_avg,CSI,16,4,0.857543
Baseline,10,batch_avg,CSI,16,4,0.820186
Baseline,15,batch_avg,CSI,16,4,0.779884
Baseline,20,batch_avg,CSI,16,4,0.740903
Baseline,25,batch_avg,CSI,16,4,0.704321
Baseline,30,batch_avg,CSI,16,4,0.672125
Baseline,35,batch_avg,CSI,16,4,0.642333
Baseline,40,batch_avg,CSI,16,4,0.612709
Baseline,45,batch_avg,CSI,16,4,0.587542
Baseline,50,batch_avg,CSI,16,4,0.569237
Baseline,55,batch_avg,CSI,16,4,0.552147
Baseline,60,batch_avg,CSI,16,4,0.535054
Baseline,5,global_count,CSI,16,4,0.877968
Baseline,10,global_count,CSI,16,4,0.846527
Baseline,15,global_count,CSI,16,4,0.809610
Baseline,20,global_count,CSI,16,4,0.772471
Baseline,25,global_count,CSI,16,4,0.737136
Baseline,30,global_count,CSI,16,4,0.705826
Baseline,35,global_count,CSI,16,4,0.676639
Baseline,40,global_count,CSI,16,4,0.645560
Baseline,45,global_count,CSI,16,4,0.617949
Baseline,50,global_count,CSI,16,4,0.600312
Baseline,55,global_count,CSI,16,4,0.583966
Baseline,60,global_count,CSI,16,4,0.566459
Baseline,5,batch_avg,CSI,16,16,0.878321
Baseline,10,batch_avg,CSI,16,16,0.840008
Baseline,15,batch_avg,CSI,16,16,0.812985
Baseline,20,batch_avg,CSI,16,16,0.789487
Baseline,25,batch_avg,CSI,16,16,0.766581
Baseline,30,batch_avg,CSI,16,16,0.744937
Baseline,35,batch_avg,CSI,16,16,0.722695
Baseline,40,batch_avg,CSI,16,16,0.699782
Baseline,45,batch_avg,CSI,16,16,0.678010
Baseline,50,batch_avg,CSI,16,16,0.662109
Baseline,55,batch_avg,CSI,16,16,0.646110
Baseline,60,batch_avg,CSI,16,16,0.630037
Baseline,5,global_count,CSI,16,16,0.891471
Baseline,10,global_count,CSI,16,16,0.858695
Baseline,15,global_count,CSI,16,16,0.833877
Baseline,20,global_count,CSI,16,16,0.811349
Baseline,25,global_count,CSI,16,16,0.788915
Baseline,30,global_count,CSI,16,16,0.767427
Baseline,35,global_count,CSI,16,16,0.744875
Baseline,40,global_count,CSI,16,16,0.720651
Baseline,45,global_count,CSI,16,16,0.696936
Baseline,50,global_count,CSI,16,16,0.681291
Baseline,55,global_count,CSI,16,16,0.665513
Baseline,60,global_count,CSI,16,16,0.648879
Baseline,5,batch_avg,CSI,74,1,0.771374
Baseline,10,batch_avg,CSI,74,1,0.694356
Baseline,15,batch_avg,CSI,74,1,0.635698
Baseline,20,batch_avg,CSI,74,1,0.581041
Baseline,25,batch_avg,CSI,74,1,0.534223
Baseline,30,batch_avg,CSI,74,1,0.488484
Baseline,35,batch_avg,CSI,74,1,0.449683
Baseline,40,batch_avg,CSI,74,1,0.416924
Baseline,45,batch_avg,CSI,74,1,0.380630
Baseline,50,batch_avg,CSI,74,1,0.351433
Baseline,55,batch_avg,CSI,74,1,0.326711
Baseline,60,batch_avg,CSI,74,1,0.303050
Baseline,5,global_count,CSI,74,1,0.828614
Baseline,10,global_count,CSI,74,1,0.773990
Baseline,15,global_count,CSI,74,1,0.723419
Baseline,20,global_count,CSI,74,1,0.672954
Baseline,25,global_count,CSI,74,1,0.629557
Baseline,30,global_count,CSI,74,1,0.585007
Baseline,35,global_count,CSI,74,1,0.547323
Baseline,40,global_count,CSI,74,1,0.508159
Baseline,45,global_count,CSI,74,1,0.459029
Baseline,50,global_count,CSI,74,1,0.430594
Baseline,55,global_count,CSI,74,1,0.408883
Baseline,60,global_count,CSI,74,1,0.383252
Baseline,5,batch_avg,CSI,74,4,0.775607
Baseline,10,batch_avg,CSI,74,4,0.692008
Baseline,15,batch_avg,CSI,74,4,0.636536
Baseline,20,batch_avg,CSI,74,4,0.588933
Baseline,25,batch_avg,CSI,74,4,0.547916
Baseline,30,batch_avg,CSI,74,4,0.507231
Baseline,35,batch_avg,CSI,74,4,0.472610
Baseline,40,batch_avg,CSI,74,4,0.443933
Baseline,45,batch_avg,CSI,74,4,0.409940
Baseline,50,batch_avg,CSI,74,4,0.382337
Baseline,55,batch_avg,CSI,74,4,0.358277
Baseline,60,batch_avg,CSI,74,4,0.334952
Baseline,5,global_count,CSI,74,4,0.830285
Baseline,10,global_count,CSI,74,4,0.767595
Baseline,15,global_count,CSI,74,4,0.719844
Baseline,20,global_count,CSI,74,4,0.675047
Baseline,25,global_count,CSI,74,4,0.636613
Baseline,30,global_count,CSI,74,4,0.596665
Baseline,35,global_count,CSI,74,4,0.562511
Baseline,40,global_count,CSI,74,4,0.528558
Baseline,45,global_count,CSI,74,4,0.484291
Baseline,50,global_count,CSI,74,4,0.457462
